编号,优先级,状态,现状与建议,验收条件
U01,P1,待实施或专项验证,固定1280×590整体缩放导致小屏按钮过小；分离视觉尺寸与点击区域,568/844宽下，主要按钮点击区域至少44 CSS像素，互不重叠；这是项目验收目标
U02,P1,待实施或专项验证,39设计像素菜单在568屏约17.3px，60像素碰胡键约26.6px；改成屏幕空间控件或专门紧凑布局,字能看清，点击不误落到牌面；不靠简单放大整桌解决
U03,P1,待实施或专项验证,牌面选中、可出、已提交、不可操作需区别；保留选中再出牌方式,点牌/取消/滑动/重复点击行为一致；提交中不双发
U04,P1,待实施或专项验证,选中牌与出牌动画的起点、终点、阴影统一,已落地弃牌不漂移；补花、碰杠、摸牌不挤动其他牌
U05,P1,待实施或专项验证,保持矩形桌与全部直排；大面积底纹和金边降低对比,视线优先落在手牌、待响应牌、行动按钮
U06,P1,待实施或专项验证,轮到谁除中心方向外增加头像边框/呼吸提示,不看倒计时也能判断行动者；减少动态效果时仍有静态提示
U07,P1,待实施或专项验证,已有可操作牌聚焦提示；继续统一来源人、牌、可做操作的信息,碰/杠/胡/抢杠能一眼看懂针对哪张牌；不遮弃牌
U08,P1,待实施或专项验证,听牌卡片已重做；按“打出谁→可听哪些→未见几张”固定层级,0/1/多听口、横滑、小屏都清楚；未见不被误认为牌墙剩余
U09,P1,待实施或专项验证,对手掉线、托管、思考与网络恢复需要分开,头像旁明确显示状态；自己网络故障不被误读成别人未出牌
U10,P1,待实施或专项验证,托管已有按钮，但应增加明显持续状态和取消反馈,一次点击取消，倒计时更新不吞点击；自动托管原因可查
U11,P1,待实施或专项验证,花牌、暗杠、补杠堆叠和供牌箭头需做极端数量巡检,20花/4杠/满弃牌/不同视角下不越界、箭头不指错
U12,P1,待实施或专项验证,弹层、错误条、弱网条、提示卡需建立明确层级,照直确认、断线提示、设置都可点；不盖住关键操作
U13,P1,待实施或专项验证,刘海、安全区、安卓导航栏、横竖切换专项适配,所有按钮在安全区内；短暂竖屏有清楚引导、不重开牌局
U14,P2,待实施或专项验证,支持大字/高对比、减少动态效果；金色不作唯一状态表达,色觉差异下仍能区分可用、禁用、危险操作
U15,P2,待实施或专项验证,Canvas 按钮补无障碍标签或等价语义操作层,辅助功能能够读出托管、胡、碰、过等操作
R01,P1,待实施或专项验证,大厅突出“回原桌 / 加入 / 开桌 / 战绩”，权限受限说明原因,有进行中牌局时优先回桌，普通会员不看到无效开桌入口
R02,P1,待实施或专项验证,开桌参数形成简短摘要，常用配置可以复用,建桌前后规则一致；费用/局数/时限说明不藏在二级页面
R03,P1,待实施或专项验证,过程提示区分比下胡、进园、三嘴、外包、照直等,用简明文字解释当前状态；严格按用户提供规则，不套用竞品规则
R04,P1,待实施或专项验证,原规则图片缺失章节及未完成的特殊流程继续单列核对,每个缺项有来源、决策和案例测试；不宣称规则已穷举
R05,P1,待实施或专项验证,单局结算先给结果，再可展开计分算式和责任归属,玩家可追溯“谁给谁、为什么、多少”；合计与总分一致
R06,P1,待实施或专项验证,下一局/准备倒计时固定位置，允许阅读详情,看详情不误点下一局；自动继续规则和剩余时间明确
R07,P1,待实施或专项验证,战绩增强房号、日期、成员筛选与加载/空白/失败状态,查询条件可保留；返回列表不丢位置
R08,P1,待实施或专项验证,已读绿勾按当前管理员独立记录；补“未读”筛选和阅读时间,普通用户不可见；失败可重试；管理员之间不互相误标
R09,P2,待实施或专项验证,回放增加跳到碰杠胡、倍速、当前动作解释,切视角遵守回放权限，时间轴不出现暗牌越权
R10,P2,待实施或专项验证,战绩详情可生成清楚的分享摘要、规则反馈入口,分享不包含密码/令牌/不应公开的私人信息；不自动发送
